Train epoch:1, loss=0.4652697289073535, err=0.9995459263103269
Test epoch:1, loss=0.5926555352155553, err=0.9958139534883721
Train epoch:2, loss=0.49788335033754766, err=0.9981318111053452
Test epoch:2, loss=0.591763498616773, err=0.9958139534883721
Train epoch:3, loss=0.4968591969311392, err=0.9981058640373641
Test epoch:3, loss=0.5901327927445257, err=0.9958139534883721
Train epoch:4, loss=0.514721381753977, err=0.9980280228334201
Test epoch:4, loss=0.6236699845901755, err=0.9958139534883721
Train epoch:5, loss=0.5518066781796767, err=0.9982485729112611
Test epoch:5, loss=0.6596200938834701, err=0.9958139534883721
Train epoch:6, loss=0.5526985416820028, err=0.998521017125065
Test epoch:6, loss=0.6477873201980148, err=0.9958139534883721
Train epoch:7, loss=0.5367900341300688, err=0.9983523611831865
Test epoch:7, loss=0.6237244722455046, err=0.9958139534883721
Train epoch:8, loss=0.5158683262421296, err=0.9982615464452517
Test epoch:8, loss=0.6019528161647708, err=0.9958139534883721
